0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
213,AR_82.JPG,10/26/2023,Arabkir,Sundukyan Street,no valve,5.7,No secondary purpose,Unknown,Inga Avetisyan
214,AR_83.JPG,10/26/2023,Arabkir,Avet Avetisyan Street,no valve,4.5,No secondary purpose,Unknown,Inga Avetisyan
215,AR_84.JPG,10/26/2023,Arabkir,Victor Hambardzumyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
216,AR_85.JPG,10/26/2023,Arabkir,Victor Hambardzumyan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
217,AR_86.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
218,AR_87.JPG,10/26/2023,Arabkir,Riga Street,no valve,1.56,No secondary purpose,Unknown,Inga Avetisyan
219,AR_88.JPG,10/26/2023,Arabkir,Grigor Artsrunu Street,no valve,"One not working, the other 4.38",No secondary purpose,Unknown,Inga Avetisyan
220,AR_89.JPG,10/26/2023,Arabkir,Hrachya Kochar Street,no valve,1.84,No secondary purpose,Unknown,Inga Avetisyan
221,AR_9.JPG,9/30/2023,Arabkir,Kievyan Street,no valve,4.5,No secondary purpose,Unknown,Inga Avetisyan
222,AR_90.JPG,10/26/2023,Arabkir,Komitas Avenue,no valve,5.45,No secondary purpose,Unknown,Inga Avetisyan
223,AR_91.JPG,10/26/2023,Arabkir,Aram Khachatryan Street,no valve,2.67,No secondary purpose,Unknown,Inga Avetisyan
224,AR_92.JPG,10/26/2023,Arabkir,Aram Khachatryan Street,no valve,2.3,No secondary purpose,Unknown,Inga Avetisyan
225,AR_93.JPG,10/26/2023,Arabkir,Aram Khachatryan Street,no valve,Not working,No secondary purpose,1994,Inga Avetisyan
226,AR_94.JPG,10/26/2023,Arabkir,Komitas Avenue,no valve,4.6,No secondary purpose,Unknown,Inga Avetisyan
227,AR_95.JPG,10/26/2023,Arabkir,Komitas Avenue,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
228,AR_96.JPG,10/26/2023,Arabkir,Vagharsh Vagharshyan Street,no valve,3.17,No secondary purpose,Unknown,Inga Avetisyan
229,AR_97.JPG,10/27/2023,Arabkir,Vagharsh Vagharshyan Street,no valve,5.08,No secondary purpose,Unknown,Inga Avetisyan
230,AR_98.JPG,10/27/2023,Arabkir,Vagharsh Vagharshyan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
231,AR_99.JPG,10/27/2023,Arabkir,Vahram Papazyan street,no valve,3.75,No secondary purpose,Unknown,Inga Avetisyan
232,AV_1.HEIF,10/02/2023,Avan,Tsarav Aghbyur Street,no valve,2.4,No secondary purpose,Unknown,Milena Baghdasaryan
233,AV_2.HEIF,10/02/2023,Avan,Tsarav Aghbyur Street,no valve,1.6,No secondary purpose,Unknown,Milena Baghdasaryan
234,AV_3.HEIF,10/02/2023,Avan,Tsarav Aghbyur Street,no valve,3.4,No secondary purpose,Unknown,Milena Baghdasaryan
235,AV_4.HEIF,10/02/2023,Avan,Hrachya Acharyan,no valve,4,No secondary purpose,Unknown,Milena Baghdasaryan
236,AV_5.HEIF,10/02/2023,Avan,Hrachya Acharyan,no valve,2.1,No secondary purpose,1994,Milena Baghdasaryan
237,AV_6.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,3.2,No secondary purpose,Unknown,Milena Baghdasaryan
238,AV_7.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,3.3,No secondary purpose,Unknown,Milena Baghdasaryan
239,AV_8.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,3.4,No secondary purpose,Unknown,Milena Baghdasaryan
240,AV_9.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,4.4,No secondary purpose,Unknown,Milena Baghdasaryan
241,AV_10.JPG,10/14/2023,Avan,Almati street,no valve,3.6,No secondary purpose,Unknown,Milena Baghdasaryan
242,AV_11.JPG,10/14/2023,Avan,Almati street,no valve,2.6,No secondary purpose,Unknown,Milena Baghdasaryan
243,AV_12.JPG,10/14/2023,Avan,Almati street,no valve,1.7,No secondary purpose,Unknown,Milena Baghdasaryan
245,AV_13.JPG,10/14/2023,Avan,Isahakyan District ,no valve,5.4,No secondary purpose,Unknown,Milena Baghdasaryan
246,AV_14.JPG,10/14/2023,Avan,Marshal Khudyakov Street,no valve,3.6,No secondary purpose,Unknown,Milena Baghdasaryan
247,AV_15.JPG,10/14/2023,Avan,Marshal Khudyakov Street,no valve,2,No secondary purpose,Unknown,Milena Baghdasaryan
248,AV_16.JPG,10/14/2023,Avan,Sayat Nova Block,no valve,2.5,No secondary purpose,Unknown,Milena Baghdasaryan
249,AV_17.JPG,10/14/2023,Avan,General Safaryan Street,no valve,4.5,No secondary purpose,Unknown,Milena Baghdasaryan
250,AV_18.JPG,10/14/2023,Avan,Charents Block,no valve,2.1,No secondary purpose,Unknown,Milena Baghdasaryan
251,AV_19.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,3.6,No secondary purpose,Unknown,Milena Baghdasaryan
252,AV_20.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,2.7,No secondary purpose,Unknown,Milena Baghdasaryan
253,AV_21.JPG,10/14/2023,Avan,Almati Street ,no valve,3.6,No secondary purpose,Unknown,Milena Baghdasaryan
254,AV_22.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,3.3,No secondary purpose,Unknown,Milena Baghdasaryan
255,AV_23.JPG,10/14/2023,Avan,Marshal Babajanyan Street,no valve,3,No secondary purpose,Unknown,Milena Baghdasaryan
256,AV_24.JPG,10/14/2023,Avan,Narekatsi Block,no valve,4.6,No secondary purpose,Unknown,Milena Baghdasaryan
257,AV_25.HEIC,10/14/2023,Avan,Hrachya Acharyan,no valve,3,No secondary purpose,Unknown,Milena Baghdasaryan
258,AV_26.HEIC,10/14/2023,Avan,Hrachya Acharyan,no valve,2.4,No secondary purpose,Unknown,Milena Baghdasaryan
259,AV_27.HEIC,10/14/2023,Avan,Tashgend Street 8,no valve,4,No secondary purpose,Unknown,Milena Baghdasaryan
260,AV_28.HEIC,10/14/2023,Avan,Avan-Arinj ,no valve,4.3,No secondary purpose,Unknown,Milena Baghdasaryan
261,AV_29.HEIC,10/14/2023,Avan,Avan-Arinj ,no valve,3.2,No secondary purpose,Unknown,Milena Baghdasaryan
262,AV_3O.HEIC,10/14/2023,Avan,Avan-Arinj ,no valve,5.4,No secondary purpose,Unknown,Milena Baghdasaryan
263,AV_31.HEIC,10/14/2023,Avan,Avan-Arinj ,no valve,3.6,No secondary purpose,Unknown,Milena Baghdasaryan
264,AV_32.HEIC,10/14/2023,Avan,Avan-Arinj ,no valve,3.6,No secondary purpose,Unknown,Milena Baghdasaryan
265,AV_33.HEIC,10/14/2023,Avan,Avan-Arinj ,no valve,5.5,No secondary purpose,Unknown,Milena Baghdasaryan
268,AV_34.JPG,10/15/2023,Avan,Hovhannisyan Block ,no valve,4.6,no secondary purpose,Unknown,Milena Baghdasaryan
269,AV_35.JPG,10/15/2023,Avan,Marshal Khudyakov Street,no valve,2.6,no secondary purpose,Unknown,Milena Baghdasaryan
270,AV_36.JPG,10/15/2023,Avan,Duryan Block,no valve,1.8,no secondary purpose,Unknown,Milena Baghdasaryan
271,AV_37.JPG,10/15/2023,Avan,Duryan Block,no valve,2.2,no secondary purpose,Unknown,Milena Baghdasaryan
272,AV_38.JPG,10/15/2023,Avan,Duryan Block,no valve,3.3,no secondary purpose,Unknown,Milena Baghdasaryan
273,AV_39.JPG,10/15/2023,Avan,Duryan Block,no valve,2.7,no secondary purpose,Unknown,Milena Baghdasaryan
274,AV_40.JPG,10/15/2023,Avan,Duryan Block,no valve,3.4,no secondary purpose,Unknown,Milena Baghdasaryan
275,AV_41.JPG,10/15/2023,Avan,Duryan Block,no valve,3.7,no secondary purpose,Unknown,Milena Baghdasaryan
276,AV_42.JPEG,10/28/2023,Avan,Hrachya Acharyan,with valve,-,no secondary purpose,unknown,Milena Baghdasaryan
277,AV_43.JPEG,10/28/2023,Avan,Hrachya Acharyan,no valve,3.2,no secondary purpose,unknown,Milena Baghdasaryan
278,AV_44.JPEG,10/28/2023,Avan,Hrachya Acharyan,no valve,4.1,no secondary purpose,unknown,Milena Baghdasaryan
278,AV_45.JPEG,10/28/2023,Avan,Almati Street,no valve,3.7,no secondary purpose,unknown,Milena Baghdasaryan
279,AV_46.JPEG,10/28/2023,Avan,Isahakyan Block,no valve,2.2,no secondary purpose,unknown,Milena Baghdasaryan
280,AV_47.JPEG,10/28/2023,Avan,Isahakyan Block ,no valve,3.6,no secondary purpose,unknown,Milena Baghdasaryan
281,AV_48.JPEG,10/28/2023,Avan,Isahakyan Block,no valve,2.8,no secondary purpose,unknown,Milena Baghdasaryan
282,AV_49.JPEG,10/28/2023,Avan,Marshal Khudyakov Street,no valve,1.7,no secondary purpose,unknown,Milena Baghdasaryan
283,AV_50.JPEG,10/28/2023,Avan,Marshal Khudyakov Street,no valve,4.1,no secondary purpose,unknown,Milena Baghdasaryan
284,AV_51.JPEG,10/28/2023,Avan,The Administrative District of Avan,no valve,3.5,no secondary purpose,unknown,Milena Baghdasaryan
285,AV_52.JPEG,10/28/2023,Avan,Kouchak Block,no valve,3.6,no secondary purpose,unknown,Milena Baghdasaryan
286,AV_53.JPEG,10/28/2023,Avan,Kouchak Block,no valve,4.2,no secondary purpose,unknown,Milena Baghdasaryan
287,AV_54.JPEG,10/28/2023,Avan,Kouchak Block ,no valve,2.2,no secondary purpose,unknown,Milena Baghdasaryan
288,AV_55.JPEG,10/28/2023,Avan,Narekatsi Block ,no valve,2.4,no secondary purpose,unknown,Milena Baghdasaryan
289,AV_56.JPEG,10/28/2023,Avan,Narekatsi Block,no valve,4,no secondary purpose,unknown,Milena Baghdasaryan
290,AV_57.JPEG,10/28/2023,Avan,Narekatsi Block ,no valve,1.7,no secondary purpose,unknown,Milena Baghdasaryan
291,AV_58.JPEG,10/28/2023,Avan,Narekatsi Block ,no valve,4.2,no secondary purpose,unknown,Milena Baghdasaryan
292,AV_59.JPEG,10/28/2023,Avan,Narekatsi Block ,no valve,2.2,no secondary purpose,unknown,Milena Baghdasaryan
293,AV_60.JPEG,10/28/2023,Avan,Narekatsi Block,no valve,3.5,no secondary purpose,unknown,Milena Baghdasaryan
294,AV_61.JPEG,10/28/2023,Avan,Narekatsi Block ,no valve,1.6,no secondary purpose,unknown,Milena Baghdasaryan
295,AV_62.JPEG,10/28/2023,Avan,Narekatsi Block,no valve,Not working,no secondary purpose,unknown,Milena Baghdasaryan
296,AV_63.JPEG,10/28/2023,Avan,Narekatsi Block ,with valve,-,no secondary purpose,unknown,Milena Baghdasaryan
297,AV_64.JPEG,10/28/2023,Avan,Narekatsi Block Chapel of the Holy Mother of God,with valve,-,no secondary purpose,unknown,Milena Baghdasaryan
298,AV_65.JPG,10/29/2023,Avan,General Safaryan Street near GPW,no valve,1.8,no secondary purpose,unknown,Milena Baghdasaryan
299,AV_66.JPG,10/29/2023,Avan,Duryan Block,with valve,3,no secondary purpose,unknown,Milena Baghdasaryan
300,AV_67.JPG,10/29/2023,Avan,Duryan Block,no valve,2.5,no secondary purpose,unknown,Milena Baghdasaryan
301,AV_68.JPG,10/29/2023,Avan,Duryan Block,no valve,2.1,no secondary purpose,unknown,Milena Baghdasaryan
302,AV_69.JPG,10/29/2023,Avan,Duryan Block,no valve,2.6,no secondary purpose,unknown,Milena Baghdasaryan
303,AV_70.JPG,10/29/2023,Avan,Duryan Block,no valve,2,no secondary purpose,unknown,Milena Baghdasaryan
304,AV_71.JPG,10/29/2023,Avan,Duryan Block,no valve,2.2,no secondary purpose,unknown,Milena Baghdasaryan
305,AV_72.JPG,10/29/2023,Avan,Duryan Block,no valve,2,no secondary purpose,unknown,Milena Baghdasaryan
306,AV_73.JPG,10/29/2023,Avan,Charents Block,no valve,2.6,no secondary purpose,unknown,Milena Baghdasaryan
307,AV_74.JPG,10/29/2023,Avan,Charents Block,no valve,2,no secondary purpose,unknown,Milena Baghdasaryan
308,AV_75.JPG,10/29/2023,Avan,Charents Block,no valve,2.1,no secondary purpose,unknown,Milena Baghdasaryan
309,AV_76.JPG,10/29/2023,Avan,Charents Block,with valve,2.6,no secondary purpose,unknown,Milena Baghdasaryan
310,AV_77.JPG,10/29/2023,Avan,Charents Block,with valve,2.3,no secondary purpose,unknown,Milena Baghdasaryan
311,AV_78.JPG,10/29/2023,Avan,Duryan Block,no valve,2.2,no secondary purpose,unknown,Milena Baghdasaryan
312,AV_79.JPG,10/29/2023,Avan,Duryan Block,no valve,3.2,no secondary purpose,unknown,Milena Baghdasaryan
313,AV_80.JPG,10/29/2023,Avan,Narekatsi Block,no valve,2.1,no secondary purpose,unknown,Milena Baghdasaryan
315,AV_81.JPG,10/29/2023,Avan,Narekatsi Block,no valve,4.6,no secondary purpose,unknown,Milena Baghdasaryan
316,AV_82.JPG,10/29/2023,Avan,Narekatsi Block,no valve,2.8,no secondary purpose,unknown,Milena Baghdasaryan
317,AV_83.JPG,10/29/2023,Avan,Narekatsi Block,no valve,2.4,no secondary purpose,unknown,Milena Baghdasaryan
242,DS_1.jpg,10/2/2023,Davtashen,"Davitashen 4th block, 38",with valve,8.2,no secondary purpose,Unknown,Anahit Navoyan
243,DS_10.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,5.8,no secondary purpose,Unknown,Anahit Navoyan
244,DS_11.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,3.55,no secondary purpose,Unknown,Anahit Navoyan
245,DS_12.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,3.23,no secondary purpose,Unknown,Anahit Navoyan
246,DS_13.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,5.05,no secondary purpose,Unknown,Anahit Navoyan
247,DS_14.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,5.07,no secondary purpose,Unknown,Anahit Navoyan
248,DS_15.jpg,10/15/2023,Davtashen,Davitashen 4th block,with a broken valve,3.41,no secondary purpose,Unknown,Anahit Navoyan
249,DS_16.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,6.17,no secondary purpose,Unknown,Anahit Navoyan
250,DS_17.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,4.29,no secondary purpose,Unknown,Anahit Navoyan
251,DS_18.jpg,10/15/2023,Davtashen,Davitashen 4th block,with valve,26.67,No secondary purpose,Unknown,Anahit Navoyan
252,DS_19.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,4.38,No secondary purpose,Unknown,Anahit Navoyan
253,DS_2.jpg,10/2/2023,Davtashen,"Davitashen 4th block, 4a",no valve,3.13,No secondary purpose,Unknown,Anahit Navoyan
254,DS_20.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,5.01,No secondary purpose,Unknown,Anahit Navoyan
255,DS_21.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,4.81,No secondary purpose,2012,Anahit Navoyan
256,DS_22.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,Not working,No secondary purpose,2005,Anahit Navoyan
257,DS_23.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,3.38,No secondary purpose,1994,Anahit Navoyan
258,DS_24.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,3.28,No secondary purpose,Unknown,Anahit Navoyan
259,DS_25.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,6.57,No secondary purpose,Unknown,Anahit Navoyan
260,DS_26.jpg,10/15/2023,Davtashen,Davitashen 4th block,with a broken valve,8.17,No secondary purpose,1995,Anahit Navoyan
261,DS_27.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,3.72,No secondary purpose,Unknown,Anahit Navoyan
262,DS_28.jpg,10/15/2023,Davtashen,Davitashen 4th block,no valve,2.31,No secondary purpose,Unknown,Anahit Navoyan
263,DS_29.jpg,10/16/2023,Davtashen,"Davtashen 2nd block, Tigran Petrosyan",no valve,3.38,No secondary purpose,Unknown,Milena Hakobyan
264,DS_3.jpg,10/2/2023,Davtashen,"Davitashen 4th block, 4a",no valve,4.29,No secondary purpose,Unknown,Anahit Navoyan
265,DS_30.jpg,10/16/2023,Davtashen,Davtashen 2nd block,with a broken valve,5.26,No secondary purpose,Unknown,Milena Hakobyan
266,DS_31.jpg,10/16/2023,Davtashen,Davtashen 2nd block,no valve,2.45,No secondary purpose,Unknown,Milena Hakobyan
267,DS_32.jpg,10/16/2023,Davtashen,Davtashen 2nd block,no valve,4.43,No secondary purpose,Unknown,Milena Hakobyan
268,DS_33.jpg,10/16/2023,Davtashen,Davtashen 2nd block,with a broken valve,3.23,No secondary purpose,Unknown,Milena Hakobyan
269,DS_34.jpg,10/16/2023,Davtashen,Davtashen 2nd block,no valve,2.02,No secondary purpose,Unknown,Milena Hakobyan
270,DS_35.jpg,10/16/2023,Davtashen,Davtashen 2nd block,no valve,3.21,No secondary purpose,2013,Milena Hakobyan
271,DS_36.jpg,10/16/2023,Davtashen,Davtashen 2nd block,no valve,6.25,No secondary purpose,Unknown,Milena Hakobyan
272,DS_37.jpg,10/16/2023,Davtashen,Davtashen 1st block,no valve,1.55,No secondary purpose,Unknown,Milena Hakobyan
273,DS_38.jpg,10/16/2023,Davtashen,Davtashen 1st block,no valve,0.82,No secondary purpose,Unknown,Milena Hakobyan
274,DS_39.jpg,10/16/2023,Davtashen,Davtashen 1st block,no valve,"1st head - 2.58, 2nd head - 2.38",No secondary purpose,Unknown,Milena Hakobyan
275,DS_4.jpg,10/2/2023,Davtashen,"Davitashen 4th block, 4a",no valve,4.27,No secondary purpose,Unknown,Anahit Navoyan
276,DS_40.jpg,10/16/2023,Davtashen,Davtashen 1st block,no valve,3.43,No secondary purpose,1990,Milena Hakobyan
277,DS_41.jpg,10/16/2023,Davtashen,Davtashen 1st block,no valve,2.49,No secondary purpose,Unknown,Milena Hakobyan
278,DS_42.jpg,10/16/2023,Davtashen,Davtashen 1st block,no valve,1.26,No secondary purpose,Unknown,Milena Hakobyan
279,DS_43.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,2.62,No secondary purpose,Unknown,Milena Hakobyan
280,DS_44.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,3.09,No secondary purpose,Unknown,Milena Hakobyan
281,DS_45.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,3.25,No secondary purpose,Unknown,Milena Hakobyan
282,DS_46.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,2.27,No secondary purpose,Unknown,Milena Hakobyan
283,DS_47.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,3.6,No secondary purpose,Unknown,Milena Hakobyan
284,DS_48.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,4.99,No secondary purpose,Unknown,Elen Balyan
285,DS_49.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,Not working,No secondary purpose,Unknown,Elen Balyan
286,DS_5.jpg,10/2/2023,Davtashen,"Davitashen 4th block, 4a",no valve,2.99,No secondary purpose,Unknown,Anahit Navoyan
287,DS_50.jpg,10/29/2023,Davtashen,Davtashen 2nd block,no valve,4.3,No secondary purpose,Unknown,Elen Balyan
288,DS_51.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,3.68,No secondary purpose,Unknown,Elen Balyan
289,DS_52.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,5.12,No secondary purpose,Unknown,Elen Balyan
290,DS_53.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,1.75,No secondary purpose,Unknown,Elen Balyan
291,DS_54.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,6.19,No secondary purpose,Unknown,Elen Balyan
292,DS_55.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,2.82,No secondary purpose,Unknown,Elen Balyan
293,DS_56.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,5.26,No secondary purpose,Unknown,Elen Balyan
294,DS_57.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,2.93,No secondary purpose,Unknown,Elen Balyan
295,DS_58.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,2.67,No secondary purpose,Unknown,Elen Balyan
296,DS_59.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,5.17; the other head doesn't work,No secondary purpose,Unknown,Elen Balyan
297,DS_6.jpg,10/15/2023,Davtashen,"Davitashen 4th block, 38",no valve,3.55,No secondary purpose,Unknown,Anahit Navoyan
298,DS_60.jpg,10/29/2023,Davtashen,Davtashen 1st block,with valve,6.84,No secondary purpose,Unknown,Elen Balyan
299,DS_61.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,3.2,No secondary purpose,Unknown,Elen Balyan
300,DS_62.jpg,10/29/2023,Davtashen,Davtashen 1st block,with a broken valve,4.03,No secondary purpose,Unknown,Elen Balyan
301,DS_63.jpg,10/29/2023,Davtashen,Davtashen 1st block,with a broken valve,6.54,No secondary purpose,Unknown,Elen Balyan
302,DS_64.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,5.25,No secondary purpose,Unknown,Elen Balyan
303,DS_65.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,3.83,No secondary purpose,Unknown,Elen Balyan
304,DS_66.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,4.34,No secondary purpose,Unknown,Elen Balyan
305,DS_67.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,3.53; other 2 heads not working,No secondary purpose,Unknown,Elen Balyan
306,DS_68.jpg,10/29/2023,Davtashen,Davtashen 1st block,no valve,5.19,No secondary purpose,1989,Elen Balyan
307,DS_69.jpg,10/29/2023,Davtashen,Davtashen 4th block,no valve,5.48,No secondary purpose,Unknown,Anahit Navoyan
308,DS_7.jpg,10/15/2023,Davtashen,"Davitashen, Anastas Mikoyan street",no valve,3.39,No secondary purpose,2020,Anahit Navoyan
309,DS_70.jpg,10/29/2023,Davtashen,Davtashen 4th block,no valve,4.65,No secondary purpose,Unknown,Anahit Navoyan
310,DS_71.jpg,10/29/2023,Davtashen,Davtashen 4th block,with valve,33.03,No secondary purpose,Unknown,Anahit Navoyan
311,DS_72.jpg,10/29/2023,Davtashen,Davtashen 4th block,no valve,4.42,No secondary purpose,Unknown,Anahit Navoyan
312,DS_73.jpg,10/29/2023,Davtashen,Davtashen 4th block,no valve,2.88,No secondary purpose,Unknown,Anahit Navoyan
313,DS_74.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,1.94,No secondary purpose,Unknown,Anahit Navoyan
314,DS_75.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,3.96,No secondary purpose,Unknown,Anahit Navoyan
315,DS_76.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,2.25,No secondary purpose,Unknown,Anahit Navoyan
316,DS_77.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,4.35,No secondary purpose,Unknown,Anahit Navoyan
317,DS_78.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,3.75,No secondary purpose,Unknown,Anahit Navoyan
318,DS_79.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,4.41,No secondary purpose,Unknown,Anahit Navoyan
319,DS_8.jpg,10/15/2023,Davtashen,"Davitashen 4th block, 4a",no valve,7.72,No secondary purpose,Unknown,Anahit Navoyan
320,DS_80.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,2.88,No secondary purpose,2020,Anahit Navoyan
321,DS_81.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,2.25,No secondary purpose,Unknown,Anahit Navoyan
322,DS_82.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,"two heads (1.75, 1.56)",No secondary purpose,Unknown,Anahit Navoyan
323,DS_83.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,2.67,No secondary purpose,Unknown,Anahit Navoyan
324,DS_84.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,3.22,No secondary purpose,Unknown,Anahit Navoyan
325,DS_85.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,1.98,No secondary purpose,Unknown,Anahit Navoyan
326,DS_86.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,5.78,No secondary purpose,Unknown,Anahit Navoyan
327,DS_87.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,4.65,No secondary purpose,Unknown,Anahit Navoyan
328,DS_88.jpg,10/29/2023,Davtashen,Davtashen 3rd block,no valve,3.99,No secondary purpose,Unknown,Anahit Navoyan
329,DS_89.jpg,11/01/2023,Davtashen,Davtashen 1st block,no valve,5.6,No secondary purpose,Unknown,Milena Hakobyan
330,DS_9.jpg,10/15/2023,Davtashen,"Davitashen 4th block, 4a",no valve,2.69,No secondary purpose,Unknown,Anahit Navoyan
331,ER_1.jpg,10/01/2023,Erebuni,Artsakh Street,no valve,3.3,No secondary purpose,Unknown,Armine Papikyan
332,ER_10.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,4.61,No secondary purpose,Unknown,Hrayr Muradyan
333,ER_100.JPG,10/22/23,Erebuni,Sari Tagh,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
334,ER_101.JPG,10/22/23,Erebuni,Sari Tagh,no valve,4,No secondary purpose,Unknown,Hrayr Muradyan
335,ER_102.JPG,10/22/23,Erebuni,Sari Tagh,no valve,3.33,No secondary purpose,Unknown,Hrayr Muradyan
336,ER_103.JPG,10/22/23,Erebuni,Sari Tagh,no valve,2.72,No secondary purpose,Unknown,Hrayr Muradyan
337,ER_104.JPG,10/22/23,Erebuni,Sari Tagh,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
338,ER_105.JPG,10/22/23,Erebuni,Sari Tagh,no valve,3,No secondary purpose,Unknown,Hrayr Muradyan
339,ER_106.JPG,10/22/23,Erebuni,Sari Tagh,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
340,ER_107.JPG,10/22/23,Erebuni,Sari Tagh,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
341,ER_108.JPG,10/22/23,Erebuni,Sari Tagh,no valve,3,No secondary purpose,Unknown,Hrayr Muradyan
342,ER_109.JPG,10/22/23,Erebuni,Sari Tagh,no valve,2.4,No secondary purpose,Unknown,Hrayr Muradyan
343,ER_11.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,4,No secondary purpose,Unknown,Hrayr Muradyan
344,ER_110.JPG,10/22/23,Erebuni,Sari Tagh,no valve,2.85,No secondary purpose,Unknown,Hrayr Muradyan
345,ER_111.JPG,10/22/23,Erebuni,Sari Tagh,no valve,8.5,No secondary purpose,Unknown,Hrayr Muradyan
346,ER_112.JPG,10/22/23,Erebuni,Sari Tagh,no valve,3.16,No secondary purpose,Unknown,Hrayr Muradyan
347,ER_113.JPG,10/22/23,Erebuni,Sari Tagh,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
348,ER_114.JPG,10/22/23,Erebuni,Sari Tagh,no valve,3.53,No secondary purpose,Unknown,Hrayr Muradyan
349,ER_115.JPG,10/22/23,Erebuni,Sari Tagh,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
350,ER_116.JPG,10/26/23,Erebuni,Sari Tagh,with valve,,No secondary purpose,Unknown,Hrayr Muradyan
351,ER_117.JPG,10/26/23,Erebuni,Sari Tagh,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
352,ER_118.JPG,10/26/23,Erebuni,Glinka street,no valve,3,No secondary purpose,Unknown,Hrayr Muradyan
353,ER_119.JPG,10/26/23,Erebuni,Sari Tagh,no valve,4.61,No secondary purpose,Unknown,Hrayr Muradyan
