0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
50,AJ_88.JPG,10/30/2023,Ajapnyak,kvartal upper garden,no valve,1.6,memorial,unknown,Karo Kishishian
51,SG_18JPG,11/1/2023,Shengavit,Taronts 3rd Lane,no valve,0.29,memorial ,unknown,Tamara Manukyan 
52,SG_53JPG,11/1/2023,Shengavit,Arshakunyanc Street 75/1,no valve,0.64,memorial ,unknown,Tamara Manukyan 
53,KN_38.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,3.75L/min,Memorial fountain,Unknown,Hrach Khachatryan
54,AJ_1.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,3,No secondary purpose,Unknown,Greg
55,AJ_10.JPG,10/01/2023,Ajapnyak,Leningradyan,no valve,3.75,No secondary purpose,Unknown,Greg
56,AJ_11.JPG,10/01/2023,Ajapnyak,Hasmik St,with valve,3,No secondary purpose,Unknown,Greg
57,AJ_12.JPG,10/01/2023,Ajapnyak,Kh. Khachatryan St,no valve,Not working,No secondary purpose,Unknown,Greg
58,AJ_13.JPG,10/01/2023,Ajapnyak,Kh. Khachatryan St,no valve,2.5,No secondary purpose,Unknown,Greg
59,AJ_14.JPG,10/01/2023,Ajapnyak,Kh. Khachatryan St,no valve,1.2,No secondary purpose,Unknown,Greg
60,AJ_15.JPG,10/01/2023,Ajapnyak,Janibekian St,no valve,3,No secondary purpose,Unknown,Greg
61,AJ_16.JPG,10/01/2023,Ajapnyak,Halabyan St,no valve,3.75,No secondary purpose,Unknown,Greg
62,AJ_17.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,Not working,No secondary purpose,Unknown,Greg
63,AJ_18.jpg,10/15/2023,Ajapnyak,Tumo park,with a broken valve,3.4,No secondary purpose,Unknown,Karo Kishishian
64,AJ_2.JPG,10/01/2023,Ajapnyak,Bashinjaghyan ,no valve,Not working,No secondary purpose,Unknown,Greg
65,AJ_21.JPG,10/15/2023,Ajapnyak,Tumo park,no valve,8.4,No secondary purpose,Unknown,Karo Kishishian
66,AJ_22.JPG,10/15/2023,Ajapnyak,Halabyan,no valve,1.36,No secondary purpose,Unknown,Karo Kishishian
67,AJ_23.JPG,10/15/2023,Ajapnyak,Halabyan,no valve,2,No secondary purpose,Unknown,Karo Kishishian
68,AJ_24.JPG,10/15/2023,Ajapnyak,Halabyan,no valve,2.6,No secondary purpose,Unknown,Karo Kishishian
69,AJ_27.JPG,10/15/2023,Ajapnyak,Halabyan,with valve,,No secondary purpose,Unknown,Karo Kishishian
